,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
NR_034155,45.53460303,0.617454775,0.206989193,-2.983029052,0.002854109,0.066050723
NR_035422,19.48602471,0.264696617,0.313921047,-0.843194871,0.399119466,0.964727883
NR_035423,0.578786653,0.223742697,0.183435781,-1.219733116,0.222566064,0.821670843
NR_035430,1.264893572,0.053499544,0.305805318,-0.174946414,0.861121739,1
NR_035434,0.35326872,-0.089527898,0.148967141,0.600990916,0.547846037,1
NR_035441,0.531264023,0.083495455,0.198904705,-0.419776168,0.674648977,1
NR_035443,4.532759029,-0.113899463,0.348630802,0.326705106,0.743890938,1
NR_035444,0.691476686,-0.152998974,0.209253873,0.73116436,0.464678766,0.992760733
NR_035445,3.942612395,-0.44614874,0.340589831,1.309929715,0.190219614,0.778607106
NR_035447,0.72816202,-0.078225018,0.208609339,0.374983297,0.707672889,1
NR_035450,1.32308356,0.099413836,0.298809559,-0.332699652,0.739361012,1
NR_035451,1.514402309,0.231405351,0.298868074,-0.774272567,0.438769623,0.981758188
NR_035453,0.477106531,0.13821433,0.151645646,-0.911429593,0.362069067,0.946953177
NR_035454,0.317344758,-0.104165871,0.16002375,0.650940074,0.515085171,1
NR_035455,0.808021745,-0.229099778,0.237398513,0.965043021,0.334523264,0.923165823
